benchmark,type,memory
cfd,1,texture 
cfd,2,texture 
cfd,3,texture 
cfd,4,texture 
cfd,6,texture 
cfd,7,texture 
cfd,cfd_rule,texture 
cfd,cfd_new,texture 
cfd,cfd,global
md,md,global
md,1,texture
md,2,texture
md,5,texture
md,6,texture
md,7,texture
mm,1,texture
mm,3,texture
mm,6,texture
mm,8,texture
mm,mm_rule,texture
mm,mm_shmem,shared
mm,surface,texture
mm,mm,global
mm,mm_naive,global
particlefilter,naive,global
particlefilter,best,constant
particlefilter,best1,constant
particlefilter,best2,constant
particlefilter,best4,shared
particlefilter,best5,shared
shmemExample,main,global
shmemExample,main_shared,shared
spmv,1,shared
spmv,2,constant
spmv,4,texture
spmv,5,texture
spmv,6,constant
spmv,7,texture
spmv,10,texture
spmv,11,texture
spmv,spmv_rule,texture
spmv,spmv,global
stencil27,stencil27,global
stencil27,stencil27_shared,shared
trans,trans,global
trans,1,texture
trans,surface,texture
convolutionSeparable,convolution,constant
convolutionSeparable,1,global
convolutionSeparable,3,texture
convolutionSeparable,4,texture
convolutionSeparable,6,shared
