,Unnamed: 0,Executable,Memtype,GPUBlockSize,NumSpheres,Dim,ExecTime,DataSize,NormExec,Improvement,SpeedUp
0,0,./const_global_mem.out,2,4,20,1024,7.8822399999999995,20_1024,0.9985308297182403,0.14691702817597319,1.0014713319188895
20,20,./const_global_mem.out,2,8,20,1024,7.901725882352943,20_1024,1.0009993227194274,-0.09993227194272811,0.9990016749294971
40,40,./const_global_mem.out,2,16,20,1024,7.94632,20_1024,1.0066485545741626,-0.6648554574162623,0.9933953567568822
60,60,./const_global_mem.out,2,32,20,1024,7.96081588235294,20_1024,1.0084849088888472,-0.8484908888847201,0.991586479069681
80,80,./const_global_mem.out,3,4,20,1024,7.9595521428571425,20_1024,1.0083248169800387,-0.8324816980038714,0.991743913429631
100,100,./const_global_mem.out,3,8,20,1024,7.863535882352941,20_1024,0.9961613715295445,0.38386284704554857,1.0038534203194023
120,120,./const_global_mem.out,3,16,20,1024,7.879932898550726,20_1024,0.9982385635699896,0.1761436430010326,1.001764544563086
140,140,./const_global_mem.out,3,32,20,1024,7.893837391304348,20_1024,1.0,0.0,1.0
1,1,./const_global_mem.out,2,4,20,4096,9.561309285714287,20_4096,1.1225901019438937,-12.259010194389386,0.8907970934968917
21,21,./const_global_mem.out,2,8,20,4096,8.581481764705885,20_4096,1.0075488828150763,-0.7548882815076253,0.9925076758618552
41,41,./const_global_mem.out,2,16,20,4096,8.600497692307691,20_4096,1.009781536468166,-0.9781536468165866,0.9903132151708992
61,61,./const_global_mem.out,2,32,20,4096,8.62888588235294,20_4096,1.0131145842971399,-1.3114584297139782,0.9870551816147843
81,81,./const_global_mem.out,3,4,20,4096,9.592757142857142,20_4096,1.1262823842559682,-12.628238425596807,0.8878768006840564
101,101,./const_global_mem.out,3,8,20,4096,8.561182352941174,20_4096,1.0051655357188376,-0.5165535718837495,0.9948610099179899
121,121,./const_global_mem.out,3,16,20,4096,8.410052463768114,20_4096,0.987421426348059,1.2578573651941014,1.0127388097080923
141,141,./const_global_mem.out,3,32,20,4096,8.517186521739129,20_4096,1.0,0.0,1.0
2,2,./const_global_mem.out,2,4,20,10240,18.271892857142856,20_10240,1.524197398365761,-52.41973983657612,0.6560829988767835
22,22,./const_global_mem.out,2,8,20,10240,12.857811764705879,20_10240,1.0725677626103296,-7.256776261032969,0.932342025240699
42,42,./const_global_mem.out,2,16,20,10240,12.8245,20_10240,1.0697889752402066,-6.978897524020652,0.9347637928082626
62,62,./const_global_mem.out,2,32,20,10240,12.876611764705885,20_10240,1.0741360134376152,-7.413601343761514,0.9309807952529646
82,82,./const_global_mem.out,3,4,20,10240,18.393307142857143,20_10240,1.5343254863453166,-53.43254863453166,0.6517521926732429
102,102,./const_global_mem.out,3,8,20,10240,12.06585882352941,20_10240,1.0065049511650772,-0.6504951165077106,0.9935370897504803
122,122,./const_global_mem.out,3,16,20,10240,11.81556231884058,20_10240,0.9856258181573755,1.4374181842624472,1.0145838122113084
142,142,./const_global_mem.out,3,32,20,10240,11.987878260869564,20_10240,1.0,0.0,1.0
3,3,./const_global_mem.out,2,4,20,20480,46.97702142857143,20_20480,2.0036043444724245,-100.36043444724243,0.4991005348729733
23,23,./const_global_mem.out,2,8,20,20480,26.8173,20_20480,1.1437774714754687,-14.377747147546868,0.8742959403720408
43,43,./const_global_mem.out,2,16,20,20480,26.64353076923077,20_20480,1.1363660866086303,-13.63660866086303,0.879998102534368
63,63,./const_global_mem.out,2,32,20,20480,27.03841764705883,20_20480,1.153208300949411,-15.3208300949411,0.8671460300595496
83,83,./const_global_mem.out,3,4,20,20480,47.3447,20_20480,2.01928610463263,-101.928610463263,0.4952245240066814
103,103,./const_global_mem.out,3,8,20,20480,23.727817647058824,20_20480,1.012008788057856,-1.200878805785621,0.9881337116835692
123,123,./const_global_mem.out,3,16,20,20480,23.135872463768106,20_20480,0.9867618927702493,1.3238107229750706,1.0134157057814484
143,143,./const_global_mem.out,3,32,20,20480,23.44625652173913,20_20480,1.0,0.0,1.0
4,4,./const_global_mem.out,2,4,200,1024,9.287240714285714,200_1024,1.121680884141952,-12.168088414195209,0.8915191603403014
24,24,./const_global_mem.out,2,8,200,1024,8.576963529411763,200_1024,1.0358960568476867,-3.5896056847686744,0.9653478197832693
44,44,./const_global_mem.out,2,16,200,1024,8.420351538461539,200_1024,1.016981001032878,-1.6981001032877885,0.983302538576796
64,64,./const_global_mem.out,2,32,200,1024,8.368067647058822,200_1024,1.010666333055685,-1.066633305568516,0.9894462368965669
84,84,./const_global_mem.out,3,4,200,1024,8.600942857142858,200_1024,1.0387921973008107,-3.8792197300810805,0.9626564413926018
104,104,./const_global_mem.out,3,8,200,1024,8.215678219178077,200_1024,0.9922612638367695,0.7738736163230548,1.0077990912729045
124,124,./const_global_mem.out,3,16,200,1024,8.278016153846151,200_1024,0.9997902244640645,0.020977553593553088,1.0002098195509443
144,144,./const_global_mem.out,3,32,200,1024,8.27975304347826,200_1024,1.0,0.0,1.0
5,5,./const_global_mem.out,2,4,200,4096,26.93272857142857,200_4096,1.9402535698398975,-94.02535698398974,0.5153965520509344
