Kernel,Metric,Configuration,Value
_Z6kernelPh,sm_efficiency,./const_global_mem.out_sm_efficiency_const_global_mem.out,573081
_Z6kernelPh,flop_count_sp,./const_global_mem.out_flop_count_sp_const_global_mem.out,2518453368472
_Z6kernelPh,shared_store_throughput,./const_global_mem.out_shared_store_throughput_const_global_mem.out,0
_Z6kernelPh,ipc,./const_global_mem.out_ipc_const_global_mem.out,1.27498
_Z6kernelPh,l2_atomic_transactions,./const_global_mem.out_l2_atomic_transactions_const_global_mem.out,0
_Z6kernelPh,l2_tex_read_transactions,./const_global_mem.out_l2_tex_read_transactions_const_global_mem.out,0
_Z6kernelPh,dram_read_throughput,./const_global_mem.out_dram_read_throughput_const_global_mem.out,2363
_Z6kernelPh,atomic_transactions,./const_global_mem.out_atomic_transactions_const_global_mem.out,0
_Z6kernelPh,stall_exec_dependency,./const_global_mem.out_stall_exec_dependency_const_global_mem.out,21.0208
_Z6kernelPh,cf_executed,./const_global_mem.out_cf_executed_const_global_mem.out,7003752736
_Z6kernelPh,flop_count_dp,./const_global_mem.out_flop_count_dp_const_global_mem.out,0
_Z6kernelPh,local_store_transactions,./const_global_mem.out_local_store_transactions_const_global_mem.out,0
_Z6kernelPh,inst_per_warp,./const_global_mem.out_inst_per_warp_const_global_mem.out,10579.4
_Z6kernelPh,warp_nonpred_execution_efficiency,./const_global_mem.out_warp_nonpred_execution_efficiency_const_global_mem.out,134.792
_Z6kernelPh,flop_count_dp_add,./const_global_mem.out_flop_count_dp_add_const_global_mem.out,0
_Z6kernelPh,shared_efficiency,./const_global_mem.out_shared_efficiency_const_global_mem.out,0
_Z6kernelPh,l2_utilization,./const_global_mem.out_l2_utilization_const_global_mem.out,10
_Z6kernelPh,shared_store_transactions,./const_global_mem.out_shared_store_transactions_const_global_mem.out,0
_Z6kernelPh,tex_cache_throughput,./const_global_mem.out_tex_cache_throughput_const_global_mem.out,15672495
_Z6kernelPh,tex_fu_utilization,./const_global_mem.out_tex_fu_utilization_const_global_mem.out,0
_Z6kernelPh,local_store_throughput,./const_global_mem.out_local_store_throughput_const_global_mem.out,0
_Z6kernelPh,inst_replay_overhead,./const_global_mem.out_inst_replay_overhead_const_global_mem.out,1.04692
_Z6kernelPh,inst_bit_convert,./const_global_mem.out_inst_bit_convert_const_global_mem.out,2097152000
_Z6kernelPh,shared_load_transactions,./const_global_mem.out_shared_load_transactions_const_global_mem.out,0
_Z6kernelPh,stall_pipe_busy,./const_global_mem.out_stall_pipe_busy_const_global_mem.out,45.2801
_Z6kernelPh,inst_fp_64,./const_global_mem.out_inst_fp_64_const_global_mem.out,0
_Z6kernelPh,gst_transactions_per_request,./const_global_mem.out_gst_transactions_per_request_const_global_mem.out,0
_Z6kernelPh,local_memory_overhead,./const_global_mem.out_local_memory_overhead_const_global_mem.out,43.4647
_Z6kernelPh,gst_efficiency,./const_global_mem.out_gst_efficiency_const_global_mem.out,24733.8
_Z6kernelPh,stall_memory_dependency,./const_global_mem.out_stall_memory_dependency_const_global_mem.out,0
_Z6kernelPh,gld_efficiency,./const_global_mem.out_gld_efficiency_const_global_mem.out,0
_Z6kernelPh,l2_write_throughput,./const_global_mem.out_l2_write_throughput_const_global_mem.out,10943137
_Z6kernelPh,gst_throughput,./const_global_mem.out_gst_throughput_const_global_mem.out,10692612
_Z6kernelPh,l2_read_transactions,./const_global_mem.out_l2_read_transactions_const_global_mem.out,3732
