,Unnamed: 0,Executable,GPUBlockSize,DataSize,ExecTime,NormExec,Improvement,SpeedUp
0,0,./mm-naive.out,4,512,0.106844,2.093742210488856,-109.37422104888557,0.4776137171951631
4,4,./mm-naive.out,8,512,0.05619474,1.1012064238089787,-10.120642380897875,0.9080949569301326
8,8,./mm-naive.out,16,512,0.041779775,0.8187271017766747,18.12728982233253,1.221408205285931
12,12,./mm-naive.out,24,512,0.04800266,0.9406723396516883,5.932766034831171,1.0630694215695546
13,13,./mm-naive.out,32,512,0.051030160000000005,1.0,0.0,1.0
17,17,./mm-shmem.out,4,512,0.09610297777777778,1.8832584059657616,-88.32584059657616,0.5309945766508797
21,21,./mm-shmem.out,8,512,0.0347656,0.681275543717676,31.872445628232406,1.4678348712520424
25,25,./mm-shmem.out,16,512,0.026921566666666667,0.5275618706009675,47.24381293990326,1.8955122720693571
29,29,./mm-shmem.out,24,512,0.02814765,0.551588511578251,44.84114884217491,1.8129456633146996
30,30,./mm-shmem.out,32,512,0.0255302625,0.5002975201331918,49.97024798668082,1.9988106271919452
1,1,./mm-naive.out,4,1024,0.7451790999999999,2.5489681041671934,-154.89681041671932,0.3923156191578643
5,5,./mm-naive.out,8,1024,0.34979792307692303,1.1965227538279137,-19.65227538279138,0.8357551052002994
9,9,./mm-naive.out,16,1024,0.234867875,0.8033917243096692,19.660827569033074,1.2447228042575003
14,14,./mm-naive.out,32,1024,0.29234540000000003,1.0,0.0,1.0
18,18,./mm-shmem.out,4,1024,0.6814272222222222,2.33089770600879,-133.089770600879,0.4290192561527318
22,22,./mm-shmem.out,8,1024,0.17651150000000002,0.6037772443144308,39.62227556855692,1.656239961702212
26,26,./mm-shmem.out,16,1024,0.11262299999999995,0.3852395146289284,61.47604853710716,2.595787716541028
31,31,./mm-shmem.out,32,1024,0.09935413571428572,0.339851886550244,66.0148113449756,2.942458287199059
2,2,./mm-naive.out,4,2048,5.853179,2.6433588824619654,-164.3358882461965,0.3783065578551416
6,6,./mm-naive.out,8,2048,2.689503076923077,1.2146086507508829,-21.460865075088286,0.8233104542617824
10,10,./mm-naive.out,16,2048,1.762293125,0.7958706175687442,20.41293824312558,1.2564856371439344
15,15,./mm-naive.out,32,2048,2.214296,1.0,0.0,1.0
19,19,./mm-shmem.out,4,2048,5.3198044444444434,2.4024811698365727,-140.24811698365727,0.41623635288181027
23,23,./mm-shmem.out,8,2048,1.302083,0.5880347523546988,41.196524764530125,1.7005797633484194
27,27,./mm-shmem.out,16,2048,0.7926071142857144,0.35794993726480756,64.20500627351925,2.7936867586603613
32,32,./mm-shmem.out,32,2048,0.6871283571428571,0.3103145907967395,68.96854092032605,3.2225361928115532
3,3,./mm-naive.out,4,4096,46.7715,2.6790664904991757,-167.90664904991755,0.37326434545253695
7,7,./mm-naive.out,8,4096,21.49304,1.2311190199792266,-23.111901997922658,0.8122691500752491
11,11,./mm-naive.out,16,4096,14.0532,0.8049657848109001,19.503421518909995,1.242288826269699
16,16,./mm-naive.out,32,4096,17.458133333333333,1.0,0.0,1.0
20,20,./mm-shmem.out,4,4096,42.51222,2.4350953901142542,-143.50953901142543,0.4106615305748167
24,24,./mm-shmem.out,8,4096,10.312075,0.5906745471069836,40.93254528930164,1.6929796702732798
28,28,./mm-shmem.out,16,4096,6.229816666666667,0.3568432287529786,64.31567712470213,2.802351059019928
33,33,./mm-shmem.out,32,4096,5.37844,0.3080764648377834,69.19235351622166,3.245947399865636
