,Executable,GPUBlockSize,DataSize,ExecTime
0,./mm-naive.out,4,512,0.2622861
1,./mm-naive.out,4,1024,1.0979317
2,./mm-naive.out,4,2048,7.38002
3,./mm-naive.out,8,512,0.16946009523809527
4,./mm-naive.out,8,1024,0.607212
5,./mm-naive.out,8,2048,3.94666375
6,./mm-naive.out,16,512,0.1692261176470588
7,./mm-naive.out,16,1024,0.5807266666666666
8,./mm-naive.out,16,2048,3.9401422222222227
9,./mm-naive.out,24,512,0.1722691111111111
10,./mm-naive.out,24,1024,0.6570962
11,./mm-naive.out,24,2048,4.027792857142857
12,./mm-naive.out,32,512,0.1735740769230769
13,./mm-naive.out,32,1024,0.6565162000000001
14,./mm-naive.out,32,2048,3.9689099999999997
15,./mm-shmem.out,4,512,0.17687466666666668
16,./mm-shmem.out,4,1024,0.6232615555555554
17,./mm-shmem.out,4,2048,4.261175833333334
18,./mm-shmem.out,8,512,0.1244708181818182
19,./mm-shmem.out,8,1024,0.3689227714285715
20,./mm-shmem.out,8,2048,2.2440075
21,./mm-shmem.out,16,512,0.12684825
22,./mm-shmem.out,16,1024,0.34298163636363643
23,./mm-shmem.out,16,2048,2.1850296153846154
24,./mm-shmem.out,24,512,0.12431270370370369
25,./mm-shmem.out,24,1024,0.3452940416666667
26,./mm-shmem.out,24,2048,2.26989
27,./mm-shmem.out,32,512,0.124210875
28,./mm-shmem.out,32,1024,0.33894075
29,./mm-shmem.out,32,2048,2.1574075
