,Unnamed: 0,Executable,GPUBlockSize,DataSize,ExecTime,NormExec,Improvement,SpeedUp
0,0,./mm-naive.out,4,512,0.036026079999999995,1.0032409070529689,-0.3240907052968955,0.996769562494726
3,3,./mm-naive.out,8,512,0.03512224375,0.9780712105642765,2.1928789435723464,1.022420442600567
6,6,./mm-naive.out,16,512,0.03666852,1.0211313377722455,-2.113133777224559,0.9793059550808157
9,9,./mm-naive.out,24,512,0.03692818,1.0283622530959602,-2.8362253095960206,0.9724199784554776
12,12,./mm-naive.out,32,512,0.035909699999999996,1.0,0.0,1.0
15,15,./mm-shmem.out,4,512,0.0339352,0.9450148567100255,5.49851432899745,1.0581844220750134
18,18,./mm-shmem.out,8,512,0.02831601666666667,0.7885339244456699,21.14660755543301,1.2681762559587886
21,21,./mm-shmem.out,16,512,0.028061576190476185,0.7814483604841084,21.85516395158916,1.2796750886782826
24,24,./mm-shmem.out,24,512,0.02817434166666667,0.7845886116193305,21.541138838066953,1.2745532947974825
27,27,./mm-shmem.out,32,512,0.0282730375,0.7873370565613192,21.266294343868083,1.2701040699995534
1,1,./mm-naive.out,4,1024,0.131303,1.3253084526907992,-32.53084526907992,0.7545413280732352
4,4,./mm-naive.out,8,1024,0.1027972125,1.0375849343830854,-3.7584934383085504,0.9637765226367399
7,7,./mm-naive.out,16,1024,0.10204939999999998,1.0300368796754409,-3.0036879675440917,0.9708390250212153
10,10,./mm-naive.out,24,1024,0.103958,1.0493013573553545,-4.930135735535435,0.9530150637757556
13,13,./mm-naive.out,32,1024,0.09907354,1.0,0.0,1.0
16,16,./mm-shmem.out,4,1024,0.08834378000000001,0.8916990348785357,10.830096512146422,1.1214546174048698
19,19,./mm-shmem.out,8,1024,0.044878450000000014,0.4529811895285059,54.701881047149406,2.207597187514274
22,22,./mm-shmem.out,16,1024,0.04177344761904762,0.4216408096354245,57.83591903645755,2.37168693624476
25,25,./mm-shmem.out,24,1024,0.04411776666666666,0.4453032229055978,55.46967770944022,2.2456608184306703
28,28,./mm-shmem.out,32,1024,0.042854425,0.4325516681850674,56.74483318149326,2.3118625439496623
2,2,./mm-naive.out,4,2048,1.163956,1.4922463078969224,-49.224630789692235,0.6701306578599191
5,5,./mm-naive.out,8,2048,0.655143,0.8399241233298453,16.007587667015464,1.1905837351540045
8,8,./mm-naive.out,16,2048,0.6330313750000001,0.8115759806441671,18.842401935583283,1.232170522353651
11,11,./mm-naive.out,24,2048,0.7644618000000001,0.9800759638493514,1.9924036150648614,1.0203290733428405
14,14,./mm-naive.out,32,2048,0.7800026,1.0,0.0,1.0
17,17,./mm-shmem.out,4,2048,0.6406082222222221,0.8212898549597426,17.871014504025737,1.2175969226467764
20,20,./mm-shmem.out,8,2048,0.17151870000000002,0.2198950362473151,78.01049637526849,4.547624253215538
23,23,./mm-shmem.out,16,2048,0.15555645833333334,0.1994306920686333,80.05693079313667,5.014273327878008
26,26,./mm-shmem.out,24,2048,0.17974600000000004,0.23044282160085114,76.95571783991488,4.3394712538804745
29,29,./mm-shmem.out,32,2048,0.15998800000000002,0.20511213680569784,79.4887863194302,4.875381903642772
