,Executable,GPUBlockSize,DataSize,ExecTime
0,./mm-naive.out,4,512,0.036026079999999995
1,./mm-naive.out,4,1024,0.131303
2,./mm-naive.out,4,2048,1.163956
3,./mm-naive.out,8,512,0.03512224375
4,./mm-naive.out,8,1024,0.1027972125
5,./mm-naive.out,8,2048,0.655143
6,./mm-naive.out,16,512,0.03666852
7,./mm-naive.out,16,1024,0.1020494
8,./mm-naive.out,16,2048,0.6330313750000001
9,./mm-naive.out,24,512,0.03692818
10,./mm-naive.out,24,1024,0.103958
11,./mm-naive.out,24,2048,0.7644618000000001
12,./mm-naive.out,32,512,0.0359097
13,./mm-naive.out,32,1024,0.09907353999999999
14,./mm-naive.out,32,2048,0.7800026
15,./mm-shmem.out,4,512,0.0339352
16,./mm-shmem.out,4,1024,0.08834378000000001
17,./mm-shmem.out,4,2048,0.6406082222222221
18,./mm-shmem.out,8,512,0.02831601666666667
19,./mm-shmem.out,8,1024,0.04487845000000001
20,./mm-shmem.out,8,2048,0.1715187
21,./mm-shmem.out,16,512,0.028061576190476185
22,./mm-shmem.out,16,1024,0.04177344761904762
23,./mm-shmem.out,16,2048,0.15555645833333334
24,./mm-shmem.out,24,512,0.02817434166666667
25,./mm-shmem.out,24,1024,0.04411776666666666
26,./mm-shmem.out,24,2048,0.17974600000000004
27,./mm-shmem.out,32,512,0.0282730375
28,./mm-shmem.out,32,1024,0.042854425
29,./mm-shmem.out,32,2048,0.159988
