,Unnamed: 0,Executable,GPUBlockSize,DataSize,ExecTime,NormExec,Improvement,SpeedUp
0,0,./mm-naive.out,4,512,0.01195766,1.194019149983574,-19.4019149983574,0.8375075056490986
4,4,./mm-naive.out,8,512,0.01069666,1.0681033647773308,-6.8103364777330775,0.9362389755306797
8,8,./mm-naive.out,16,512,0.0098239125,0.9809561112093008,1.9043888790699177,1.0194135992151803
12,12,./mm-naive.out,24,512,0.010031468,1.0016813401992883,-0.16813401992884333,0.9983214819605665
13,13,./mm-naive.out,32,512,0.01001463,1.0,0.0,1.0
17,17,./mm-shmem.out,4,512,0.013173944444444443,1.315469911963242,-31.54699119632421,0.7601846236890158
21,21,./mm-shmem.out,8,512,0.00990682,0.9892347495613917,1.07652504386083,1.0108824022239224
25,25,./mm-shmem.out,16,512,0.009264274,0.925074016713548,7.492598328645198,1.080994581982355
29,29,./mm-shmem.out,24,512,0.00981526333333333,0.9800924580671808,1.9907541932819208,1.0203119019730837
30,30,./mm-shmem.out,32,512,0.009545777500000002,0.9531832429156146,4.681675708438539,1.049116219186965
1,1,./mm-naive.out,4,1024,0.04352578,1.7947280267788002,-79.47280267788001,0.5571874875074038
5,5,./mm-naive.out,8,1024,0.028038661538461542,1.1561371604699955,-15.613716046999544,0.8649492760819812
9,9,./mm-naive.out,16,1024,0.02365018750000001,0.9751842320763386,2.481576792366132,1.025447261253214
14,14,./mm-naive.out,32,1024,0.024252020000000003,1.0,0.0,1.0
18,18,./mm-shmem.out,4,1024,0.05196346666666666,2.14264488758737,-114.26448875873702,0.46671289572674146
22,22,./mm-shmem.out,8,1024,0.024866844444444442,1.0253514735863007,-2.535147358630083,0.9752753331522207
26,26,./mm-shmem.out,16,1024,0.02018842413793103,0.8324429939415781,16.755700605842197,1.2012834599821034
31,31,./mm-shmem.out,32,1024,0.01958007692307692,0.8073586003589357,19.264139964106427,1.2386069827650559
2,2,./mm-naive.out,4,2048,0.31858010000000003,2.375166257112524,-137.5166257112524,0.42102315869698076
6,6,./mm-naive.out,8,2048,0.1618546153846154,1.206703183969947,-20.670318396994684,0.8287042027270437
10,10,./mm-naive.out,16,2048,0.128517375,0.9581581917786974,4.184180822130258,1.0436689980634917
15,15,./mm-naive.out,32,2048,0.13412960000000002,1.0,0.0,1.0
19,19,./mm-shmem.out,4,2048,0.3554756666666667,2.650240265136604,-165.0240265136604,0.37732428004917357
23,23,./mm-shmem.out,8,2048,0.1388353333333333,1.0350834814487875,-3.508348144878755,0.9661056503387709
27,27,./mm-shmem.out,16,2048,0.10254941379310344,0.7645546828821037,23.544531711789624,1.3079509188673721
32,32,./mm-shmem.out,32,2048,0.09778511538461536,0.7290345709270388,27.096542907296115,1.3716770642692597
3,3,./mm-naive.out,4,4096,3.288307,3.6552201964519666,-265.5220196451966,0.2735813292372032
7,7,./mm-naive.out,8,4096,1.5919307692307691,1.7695602931981782,-76.95602931981783,0.5651121376557736
11,11,./mm-naive.out,16,4096,0.8872432500000001,0.9862429044993919,1.3757095500608156,1.0139489931312522
16,16,./mm-naive.out,32,4096,0.8996194,1.0,0.0,1.0
20,20,./mm-shmem.out,4,4096,3.6545222222222216,4.06229814766358,-306.22981476635806,0.2461660773410113
24,24,./mm-shmem.out,8,4096,1.4167344444444443,1.5748153546315746,-57.48153546315746,0.6349950786668246
28,28,./mm-shmem.out,16,4096,0.6811848928571429,0.7571923113898421,24.280768861015787,1.3206684549721317
33,33,./mm-shmem.out,32,4096,0.6470600833333333,0.7192598151321918,28.074018486780815,1.3903181840017176
