Kernel,Metric,Configuration,Value
_Z12blend_kernelPfbS_S_,sm_efficiency,./heat_globalmem.out_sm_efficiency_heat_globalmem.out,98.3836
_Z14float_to_colorPhPKf,sm_efficiency,./heat_globalmem.out_sm_efficiency_heat_globalmem.out,2.88046
_Z17copy_const_kernelPfS_,sm_efficiency,./heat_globalmem.out_sm_efficiency_heat_globalmem.out,85.5635
_Z12blend_kernelPfbS_S_,flop_count_sp,./heat_globalmem.out_flop_count_sp_heat_globalmem.out,29360128
_Z14float_to_colorPhPKf,flop_count_sp,./heat_globalmem.out_flop_count_sp_heat_globalmem.out,60119912
_Z17copy_const_kernelPfS_,flop_count_sp,./heat_globalmem.out_flop_count_sp_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,shared_store_throughput,./heat_globalmem.out_shared_store_throughput_heat_globalmem.out,0
_Z14float_to_colorPhPKf,shared_store_throughput,./heat_globalmem.out_shared_store_throughput_heat_globalmem.out,0
_Z17copy_const_kernelPfS_,shared_store_throughput,./heat_globalmem.out_shared_store_throughput_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,ipc,./heat_globalmem.out_ipc_heat_globalmem.out,1.37961
_Z14float_to_colorPhPKf,ipc,./heat_globalmem.out_ipc_heat_globalmem.out,1.77684
_Z17copy_const_kernelPfS_,ipc,./heat_globalmem.out_ipc_heat_globalmem.out,0.426972
_Z12blend_kernelPfbS_S_,l2_atomic_transactions,./heat_globalmem.out_l2_atomic_transactions_heat_globalmem.out,0
_Z14float_to_colorPhPKf,l2_atomic_transactions,./heat_globalmem.out_l2_atomic_transactions_heat_globalmem.out,0
_Z17copy_const_kernelPfS_,l2_atomic_transactions,./heat_globalmem.out_l2_atomic_transactions_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,l2_tex_read_transactions,./heat_globalmem.out_l2_tex_read_transactions_heat_globalmem.out,2577442
_Z14float_to_colorPhPKf,l2_tex_read_transactions,./heat_globalmem.out_l2_tex_read_transactions_heat_globalmem.out,48496761
_Z17copy_const_kernelPfS_,l2_tex_read_transactions,./heat_globalmem.out_l2_tex_read_transactions_heat_globalmem.out,1048572
_Z12blend_kernelPfbS_S_,dram_read_throughput,./heat_globalmem.out_dram_read_throughput_heat_globalmem.out,42610203915
_Z14float_to_colorPhPKf,dram_read_throughput,./heat_globalmem.out_dram_read_throughput_heat_globalmem.out,450146133315
_Z17copy_const_kernelPfS_,dram_read_throughput,./heat_globalmem.out_dram_read_throughput_heat_globalmem.out,44938417708
_Z12blend_kernelPfbS_S_,atomic_transactions,./heat_globalmem.out_atomic_transactions_heat_globalmem.out,0
_Z14float_to_colorPhPKf,atomic_transactions,./heat_globalmem.out_atomic_transactions_heat_globalmem.out,0
_Z17copy_const_kernelPfS_,atomic_transactions,./heat_globalmem.out_atomic_transactions_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,stall_exec_dependency,./heat_globalmem.out_stall_exec_dependency_heat_globalmem.out,67.8704
_Z14float_to_colorPhPKf,stall_exec_dependency,./heat_globalmem.out_stall_exec_dependency_heat_globalmem.out,83.1794
_Z17copy_const_kernelPfS_,stall_exec_dependency,./heat_globalmem.out_stall_exec_dependency_heat_globalmem.out,64.887
_Z12blend_kernelPfbS_S_,cf_executed,./heat_globalmem.out_cf_executed_heat_globalmem.out,5771264
_Z14float_to_colorPhPKf,cf_executed,./heat_globalmem.out_cf_executed_heat_globalmem.out,8118991
_Z17copy_const_kernelPfS_,cf_executed,./heat_globalmem.out_cf_executed_heat_globalmem.out,1579269
_Z12blend_kernelPfbS_S_,flop_count_dp,./heat_globalmem.out_flop_count_dp_heat_globalmem.out,0
_Z14float_to_colorPhPKf,flop_count_dp,./heat_globalmem.out_flop_count_dp_heat_globalmem.out,0
_Z17copy_const_kernelPfS_,flop_count_dp,./heat_globalmem.out_flop_count_dp_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,local_store_transactions,./heat_globalmem.out_local_store_transactions_heat_globalmem.out,0
_Z14float_to_colorPhPKf,local_store_transactions,./heat_globalmem.out_local_store_transactions_heat_globalmem.out,0
_Z17copy_const_kernelPfS_,local_store_transactions,./heat_globalmem.out_local_store_transactions_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,inst_per_warp,./heat_globalmem.out_inst_per_warp_heat_globalmem.out,253.047
_Z14float_to_colorPhPKf,inst_per_warp,./heat_globalmem.out_inst_per_warp_heat_globalmem.out,582.417
_Z17copy_const_kernelPfS_,inst_per_warp,./heat_globalmem.out_inst_per_warp_heat_globalmem.out,64.426
_Z12blend_kernelPfbS_S_,warp_nonpred_execution_efficiency,./heat_globalmem.out_warp_nonpred_execution_efficiency_heat_globalmem.out,49.5971
_Z14float_to_colorPhPKf,warp_nonpred_execution_efficiency,./heat_globalmem.out_warp_nonpred_execution_efficiency_heat_globalmem.out,48.5106
_Z17copy_const_kernelPfS_,warp_nonpred_execution_efficiency,./heat_globalmem.out_warp_nonpred_execution_efficiency_heat_globalmem.out,49.1975
_Z12blend_kernelPfbS_S_,flop_count_dp_add,./heat_globalmem.out_flop_count_dp_add_heat_globalmem.out,0
_Z14float_to_colorPhPKf,flop_count_dp_add,./heat_globalmem.out_flop_count_dp_add_heat_globalmem.out,0
_Z17copy_const_kernelPfS_,flop_count_dp_add,./heat_globalmem.out_flop_count_dp_add_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,shared_efficiency,./heat_globalmem.out_shared_efficiency_heat_globalmem.out,0
_Z14float_to_colorPhPKf,shared_efficiency,./heat_globalmem.out_shared_efficiency_heat_globalmem.out,0
_Z17copy_const_kernelPfS_,shared_efficiency,./heat_globalmem.out_shared_efficiency_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,l2_utilization,./heat_globalmem.out_l2_utilization_heat_globalmem.out,1
_Z14float_to_colorPhPKf,l2_utilization,./heat_globalmem.out_l2_utilization_heat_globalmem.out,1
_Z17copy_const_kernelPfS_,l2_utilization,./heat_globalmem.out_l2_utilization_heat_globalmem.out,1
_Z12blend_kernelPfbS_S_,shared_store_transactions,./heat_globalmem.out_shared_store_transactions_heat_globalmem.out,0
_Z14float_to_colorPhPKf,shared_store_transactions,./heat_globalmem.out_shared_store_transactions_heat_globalmem.out,0
_Z17copy_const_kernelPfS_,shared_store_transactions,./heat_globalmem.out_shared_store_transactions_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,tex_cache_throughput,./heat_globalmem.out_tex_cache_throughput_heat_globalmem.out,944103330625
_Z14float_to_colorPhPKf,tex_cache_throughput,./heat_globalmem.out_tex_cache_throughput_heat_globalmem.out,8859982152616
_Z17copy_const_kernelPfS_,tex_cache_throughput,./heat_globalmem.out_tex_cache_throughput_heat_globalmem.out,269279917822
